,STATEFIPS,Total population,Number in poverty,Percent in poverty,YEAR
0,02,717000,72000,10.1,2023
1,04,7210000,861000,11.9,2023
2,05,3011000,416000,13.8,2023
3,06,38550000,4568000,11.9,2023
4,08,5876000,498000,8.5,2023
5,09,3620000,301000,8.3,2023
6,10,1034000,81000,7.8,2023
8,12,22630000,2622000,11.6,2023
9,13,11040000,1427000,12.9,2023
10,15,1415000,116000,8.2,2023
11,16,1957000,178000,9.1,2023
12,17,12540000,1224000,9.8,2023
13,18,6832000,566000,8.3,2023
14,19,3191000,254000,8,2023
15,20,2889000,254000,8.8,2023
16,21,4445000,603000,13.6,2023
17,22,4482000,964000,21.5,2023
18,23,1392000,103000,7.4,2023
19,24,6197000,550000,8.9,2023
20,25,6925000,632000,9.1,2023
21,26,9936000,1199000,12.1,2023
22,27,5779000,417000,7.2,2023
23,28,2896000,462000,16,2023
24,29,6070000,590000,9.7,2023
25,30,1132000,92000,8.1,2023
26,31,1966000,181000,9.2,2023
27,32,3234000,449000,13.9,2023
28,33,1365000,83000,6.1,2023
29,34,9240000,827000,9,2023
30,35,2082000,361000,17.3,2023
31,36,19240000,2122000,11,2023
32,37,10810000,1470000,13.6,2023
33,38,782000,77000,9.9,2023
34,39,11570000,1289000,11.1,2023
35,40,3942000,508000,12.9,2023
36,41,4233000,435000,10.3,2023
37,42,12630000,1301000,10.3,2023
38,44,1065000,95000,8.9,2023
39,45,5361000,629000,11.7,2023
40,46,890000,67000,7.5,2023
41,47,7093000,757000,10.7,2023
42,48,30260000,3709000,12.3,2023
43,49,3404000,214000,6.3,2023
44,50,635000,43000,6.7,2023
45,51,8649000,815000,9.4,2023
46,53,7888000,689000,8.7,2023
47,54,1744000,232000,13.3,2023
48,55,5750000,535000,9.3,2023
49,56,571000,54000,9.4,2023
50,02,708000,68000,9.6,2022
51,04,7239000,920000,12.7,2022
52,05,2993000,496000,16.6,2022
53,06,38690000,4346000,11.2,2022
54,08,5732000,465000,8.1,2022
55,09,3602000,368000,10.2,2022
56,10,1035000,97000,9.3,2022
58,12,22190000,2988000,13.5,2022
59,13,10920000,1280000,11.7,2022
60,15,1423000,126000,8.8,2022
61,16,1947000,159000,8.2,2022
62,17,12350000,1173000,9.5,2022
63,18,6792000,704000,10.4,2022
64,19,3183000,299000,9.4,2022
65,20,2846000,298000,10.5,2022
66,21,4453000,763000,17.1,2022
67,22,4519000,761000,16.9,2022
68,23,1381000,133000,9.6,2022
69,24,6202000,535000,8.6,2022
70,25,6860000,658000,9.6,2022
71,26,9961000,1206000,12.1,2022
72,27,5626000,427000,7.6,2022
73,28,2881000,531000,18.4,2022
74,29,6057000,693000,11.4,2022
75,30,1119000,117000,10.4,2022
76,31,1946000,154000,7.9,2022
77,32,3170000,380000,12,2022
78,33,1385000,115000,8.3,2022
79,34,9151000,799000,8.7,2022
80,35,2113000,427000,20.2,2022
81,36,19490000,2480000,12.7,2022
82,37,10740000,1525000,14.2,2022
83,38,764000,74000,9.7,2022
84,39,11620000,1154000,9.9,2022
85,40,3948000,665000,16.9,2022
86,41,4230000,419000,9.9,2022
87,42,12740000,1383000,10.9,2022
88,44,1069000,90000,8.4,2022
89,45,5262000,677000,12.9,2022
90,46,886000,80000,9.1,2022
91,47,7010000,736000,10.5,2022
92,48,29920000,4031000,13.5,2022
93,49,3338000,200000,6,2022
94,50,641000,58000,9,2022
95,51,8489000,704000,8.3,2022
96,53,7705000,696000,9,2022
97,54,1746000,270000,15.5,2022
98,55,5807000,386000,6.6,2022
99,56,562000,40000,7.1,2022
100,02,712000,81000,11.4,2021
101,04,7303000,922000,12.6,2021
102,05,2981000,502000,16.8,2021
103,06,38770000,4615000,11.9,2021
104,08,5724000,455000,7.9,2021
105,09,3553000,285000,8,2021
106,10,996000,117000,11.7,2021
108,12,21650000,2721000,12.6,2021
109,13,10670000,1490000,14,2021
110,15,1427000,156000,10.9,2021
111,16,1905000,177000,9.3,2021
112,17,12460000,1339000,10.7,2021
113,18,6778000,704000,10.4,2021
114,19,3182000,309000,9.7,2021
115,20,2891000,206000,7.1,2021
116,21,4459000,725000,16.2,2021
117,22,4519000,830000,18.4,2021
118,23,1354000,123000,9.1,2021
119,24,6095000,469000,7.7,2021
120,25,6841000,522000,7.6,2021
121,26,9842000,1147000,11.7,2021
122,27,5532000,382000,6.9,2021
123,28,2913000,506000,17.4,2021
124,29,6046000,742000,12.3,2021
125,30,1114000,120000,10.7,2021
126,31,1970000,159000,8.1,2021
127,32,3089000,397000,12.8,2021
128,33,1390000,96000,6.9,2021
129,34,9220000,698000,7.6,2021
130,35,2097000,377000,18,2021
131,36,19350000,2428000,12.5,2021
132,37,10600000,1249000,11.8,2021
133,38,760000,65000,8.5,2021
134,39,11740000,1364000,11.6,2021
135,40,3904000,589000,15.1,2021
136,41,4220000,389000,9.2,2021
137,42,12640000,1362000,10.8,2021
138,44,1087000,102000,9.4,2021
139,45,5214000,713000,13.7,2021
140,46,884000,74000,8.4,2021
141,47,6958000,740000,10.6,2021
142,48,29390000,3977000,13.5,2021
143,49,3333000,264000,7.9,2021
144,50,631000,47000,7.5,2021
145,51,8489000,831000,9.8,2021
146,53,7670000,587000,7.7,2021
147,54,1754000,296000,16.9,2021
148,55,5910000,551000,9.3,2021
149,56,568000,53000,9.4,2021
150,02,708000,95000,13.4,2020
151,04,7203000,783000,10.9,2020
152,05,2974000,420000,14.1,2020
153,06,39200000,4332000,11.1,2020
154,08,5717000,546000,9.5,2020
155,09,3545000,396000,11.2,2020
156,10,991000,104000,10.5,2020
158,12,21510000,2854000,13.3,2020
159,13,10560000,1399000,13.3,2020
160,15,1427000,155000,10.9,2020
161,16,1862000,170000,9.1,2020
162,17,12640000,1010000,8,2020
163,18,6685000,807000,12.1,2020
164,19,3163000,290000,9.2,2020
165,20,2891000,267000,9.3,2020
166,21,4454000,621000,13.9,2020
167,22,4545000,704000,15.5,2020
168,23,1366000,109000,8,2020
169,24,6077000,569000,9.4,2020
170,25,6943000,586000,8.4,2020
171,26,9891000,1112000,11.2,2020
172,27,5602000,476000,8.5,2020
173,28,2937000,516000,17.6,2020
174,29,6044000,647000,10.7,2020
175,30,1080000,118000,10.9,2020
176,31,1953000,162000,8.3,2020
177,32,3123000,404000,12.9,2020
178,33,1387000,87000,6.2,2020
179,34,9119000,744000,8.2,2020
180,35,2064000,343000,16.6,2020
181,36,19580000,2313000,11.8,2020
182,37,10410000,1441000,13.8,2020
183,38,761000,81000,10.7,2020
184,39,11700000,1487000,12.7,2020
185,40,3885000,604000,15.5,2020
186,41,4114000,387000,9.4,2020
187,42,12690000,1352000,10.7,2020
188,44,1086000,93000,8.5,2020
189,45,5110000,684000,13.4,2020
190,46,878000,102000,11.6,2020
191,47,6934000,912000,13.1,2020
192,48,28920000,4057000,14,2020
193,49,3272000,242000,7.4,2020
194,50,639000,55000,8.6,2020
195,51,8501000,663000,7.8,2020
196,53,7585000,625000,8.2,2020
197,54,1760000,249000,14.2,2020
198,55,5836000,466000,8,2020
199,56,561000,55000,9.7,2020
200,02,701000,72000,10.2,2019
201,04,7285000,725000,9.9,2019
202,05,2915000,412000,14.1,2019
203,06,39370000,3980000,10.1,2019
204,08,5768000,535000,9.3,2019
205,09,3490000,291000,8.3,2019
206,10,971000,63000,6.5,2019
208,12,21400000,2455000,11.5,2019
209,13,10350000,1249000,12.1,2019
210,15,1365000,115000,8.4,2019
211,16,1794000,127000,7.1,2019
212,17,12500000,1160000,9.3,2019
213,18,6691000,677000,10.1,2019
214,19,3137000,298000,9.5,2019
215,20,2813000,266000,9.5,2019
216,21,4399000,599000,13.6,2019
217,22,4563000,816000,17.9,2019
218,23,1340000,140000,10.4,2019
219,24,6067000,424000,7,2019
220,25,6897000,521000,7.5,2019
221,26,9901000,1007000,10.2,2019
222,27,5681000,322000,5.7,2019
223,28,2911000,560000,19.2,2019
224,29,6063000,568000,9.4,2019
225,30,1053000,102000,9.7,2019
226,31,1885000,165000,8.7,2019
227,32,3105000,323000,10.4,2019
228,33,1351000,49000,3.7,2019
229,34,8738000,554000,6.3,2019
230,35,2058000,315000,15.3,2019
231,36,19070000,2382000,12.5,2019
232,37,10470000,1324000,12.7,2019
233,38,749000,61000,8.1,2019
234,39,11510000,1424000,12.4,2019
235,40,3899000,422000,10.8,2019
236,41,4135000,336000,8.1,2019
237,42,12550000,1092000,8.7,2019
238,44,1047000,96000,9.2,2019
239,45,5144000,775000,15.1,2019
240,46,860000,91000,10.6,2019
241,47,6721000,879000,13.1,2019
242,48,28670000,3174000,11.1,2019
243,49,3232000,236000,7.3,2019
244,50,615000,53000,8.6,2019
245,51,8335000,737000,8.8,2019
246,53,7549000,527000,7,2019
247,54,1745000,242000,13.9,2019
248,55,5730000,479000,8.4,2019
249,56,565000,52000,9.2,2019
250,02,720000,94000,13.1,2018
251,04,7241000,929000,12.8,2018
252,05,2912000,462000,15.9,2018
253,06,39150000,4664000,11.9,2018
254,08,5739000,521000,9.1,2018
255,09,3413000,348000,10.2,2018
256,10,976000,72000,7.4,2018
258,12,21120000,2883000,13.7,2018
259,13,10420000,1548000,14.8,2018
260,15,1393000,128000,9.2,2018
261,16,1766000,202000,11.5,2018
262,17,12590000,1292000,10.3,2018
263,18,6582000,761000,11.6,2018
264,19,3110000,277000,8.9,2018
265,20,2835000,212000,7.5,2018
266,21,4445000,696000,15.7,2018
267,22,4510000,858000,19,2018
268,23,1321000,153000,11.6,2018
269,24,6030000,480000,8,2018
270,25,6883000,601000,8.7,2018
271,26,9913000,1036000,10.5,2018
272,27,5746000,456000,7.9,2018
273,28,2899000,567000,19.6,2018
274,29,6026000,745000,12.4,2018
275,30,1041000,107000,10.3,2018
276,31,1893000,199000,10.5,2018
277,32,3008000,390000,13,2018
278,33,1349000,82000,6.1,2018
279,34,8790000,725000,8.2,2018
280,35,2054000,342000,16.6,2018
281,36,19340000,2145000,11.1,2018
282,37,10370000,1355000,13.1,2018
283,38,745000,72000,9.7,2018
284,39,11450000,1365000,11.9,2018
285,40,3858000,518000,13.4,2018
286,41,4172000,404000,9.7,2018
287,42,12520000,1476000,11.8,2018
288,44,1036000,92000,8.9,2018
289,45,5036000,642000,12.8,2018
290,46,853000,90000,10.6,2018
291,47,6665000,800000,12,2018
292,48,28500000,3894000,13.7,2018
293,49,3173000,219000,6.9,2018
294,50,616000,60000,9.7,2018
295,51,8393000,821000,9.8,2018
296,53,7555000,647000,8.6,2018
297,54,1762000,279000,15.9,2018
298,55,5795000,499000,8.6,2018
299,56,565000,53000,9.5,2018
300,02,719000,87000,12.1,2017
301,04,6981000,951000,13.6,2017
302,05,2921000,436000,14.9,2017
303,06,39250000,4759000,12.1,2017
304,08,5527000,489000,8.9,2017
305,09,3553000,377000,10.6,2017
306,10,967000,85000,8.8,2017
308,12,20910000,2809000,13.4,2017
309,13,10230000,1339000,13.1,2017
310,15,1402000,149000,10.6,2017
311,16,1730000,199000,11.5,2017
312,17,12600000,1454000,11.5,2017
313,18,6532000,762000,11.7,2017
314,19,3053000,230000,7.5,2017
315,20,2868000,411000,14.3,2017
316,21,4395000,591000,13.5,2017
317,22,4535000,931000,20.5,2017
318,23,1315000,163000,12.4,2017
319,24,5977000,451000,7.6,2017
320,25,6784000,763000,11.2,2017
321,26,9895000,1135000,11.5,2017
322,27,5619000,479000,8.5,2017
323,28,2948000,544000,18.5,2017
324,29,5988000,683000,11.4,2017
325,30,1041000,107000,10.3,2017
326,31,1878000,216000,11.5,2017
327,32,2979000,392000,13.2,2017
328,33,1333000,95000,7.2,2017
329,34,9015000,894000,9.9,2017
330,35,2035000,402000,19.7,2017
331,36,19740000,2510000,12.7,2017
332,37,10300000,1567000,15.2,2017
333,38,740000,92000,12.4,2017
334,39,11490000,1479000,12.9,2017
335,40,3817000,490000,12.8,2017
336,41,4202000,482000,11.5,2017
337,42,12570000,1373000,10.9,2017
338,44,1046000,118000,11.3,2017
339,45,4955000,756000,15.2,2017
340,46,870000,93000,10.7,2017
341,47,6699000,759000,11.3,2017
342,48,28090000,3715000,13.2,2017
343,49,3130000,272000,8.7,2017
344,50,613000,53000,8.6,2017
345,51,8242000,862000,10.5,2017
346,53,7425000,810000,10.9,2017
347,54,1793000,306000,17.1,2017
348,55,5809000,537000,9.2,2017
349,56,560000,73000,13,2017
350,02,717000,103000,14.4,2017
351,04,6990000,926000,13.2,2017
352,05,2924000,432000,14.8,2017
353,06,39240000,4872000,12.4,2017
354,08,5527000,427000,7.7,2017
355,09,3555000,388000,10.9,2017
356,10,967000,89000,9.2,2017
358,12,20890000,2864000,13.7,2017
359,13,10230000,1356000,13.3,2017
360,15,1402000,144000,10.3,2017
361,16,1732000,202000,11.7,2017
362,17,12600000,1379000,10.9,2017
363,18,6533000,748000,11.4,2017
364,19,3054000,278000,9.1,2017
365,20,2870000,421000,14.7,2017
366,21,4401000,633000,14.4,2017
367,22,4538000,970000,21.4,2017
368,23,1317000,158000,12,2017
369,24,5967000,467000,7.8,2017
370,25,6796000,724000,10.6,2017
371,26,9889000,1259000,12.7,2017
372,27,5619000,519000,9.2,2017
373,28,2947000,538000,18.3,2017
374,29,5979000,666000,11.1,2017
375,30,1039000,101000,9.7,2017
376,31,1875000,194000,10.4,2017
377,32,2982000,409000,13.7,2017
378,33,1334000,88000,6.6,2017
379,34,9007000,774000,8.6,2017
380,35,2040000,380000,18.6,2017
381,36,19730000,2641000,13.4,2017
382,37,10290000,1494000,14.5,2017
383,38,742000,84000,11.3,2017
384,39,11500000,1458000,12.7,2017
385,40,3817000,482000,12.6,2017
386,41,4199000,430000,10.2,2017
387,42,12570000,1411000,11.2,2017
388,44,1045000,127000,12.2,2017
389,45,4959000,773000,15.6,2017
390,46,871000,91000,10.4,2017
391,47,6699000,769000,11.5,2017
392,48,28080000,3768000,13.4,2017
393,49,3127000,269000,8.6,2017
394,50,613000,63000,10.2,2017
395,51,8249000,847000,10.3,2017
396,53,7431000,736000,9.9,2017
397,54,1794000,311000,17.3,2017
398,55,5808000,551000,9.5,2017
399,56,560000,70000,12.4,2017
400,02,708000,89000,12.6,2016
401,04,6878000,1108000,16.1,2016
402,05,2941000,471000,16,2016
403,06,39140000,5435000,13.9,2016
404,08,5502000,467000,8.5,2016
405,09,3567000,351000,9.8,2016
406,10,947000,110000,11.6,2016
408,12,20520000,2659000,13,2016
409,13,10270000,1580000,15.4,2016
410,15,1392000,129000,9.3,2016
411,16,1679000,187000,11.1,2016
412,17,12580000,1517000,12.1,2016
413,18,6493000,768000,11.8,2016
414,19,3099000,302000,9.8,2016
415,20,2859000,321000,11.2,2016
416,21,4383000,667000,15.2,2016
417,22,4573000,923000,20.2,2016
418,23,1317000,167000,12.7,2016
419,24,5930000,424000,7.1,2016
420,25,6775000,649000,9.6,2016
421,26,9875000,1091000,11.1,2016
422,27,5430000,470000,8.7,2016
423,28,2943000,622000,21.1,2016
424,29,5878000,762000,13,2016
425,30,1031000,121000,11.7,2016
426,31,1870000,179000,9.6,2016
427,32,2941000,298000,10.1,2016
428,33,1316000,84000,6.4,2016
429,34,8836000,828000,9.4,2016
430,35,2043000,364000,17.8,2016
431,36,19460000,2314000,11.9,2016
432,37,10060000,1363000,13.6,2016
433,38,749000,83000,11.1,2016
434,39,11440000,1573000,13.7,2016
435,40,3911000,571000,14.6,2016
436,41,4124000,486000,11.8,2016
437,42,12530000,1396000,11.1,2016
438,44,1052000,119000,11.4,2016
439,45,4898000,690000,14.1,2016
440,46,855000,124000,14.5,2016
441,47,6652000,988000,14.9,2016
442,48,27660000,3812000,13.8,2016
443,49,3077000,264000,8.6,2016
444,50,622000,60000,9.6,2016
445,51,8163000,929000,11.4,2016
446,53,7289000,800000,11,2016
447,54,1808000,326000,18,2016
448,55,5764000,620000,10.7,2016
449,56,571000,62000,10.9,2016
450,02,703000,65000,9.2,2015
451,04,6728000,1156000,17.2,2015
452,05,2951000,475000,16.1,2015
453,06,39080000,5441000,13.9,2015
454,08,5420000,538000,9.9,2015
455,09,3572000,324000,9.1,2015
456,10,958000,106000,11.1,2015
458,12,20070000,3253000,16.2,2015
459,13,10100000,1833000,18.1,2015
460,15,1382000,151000,10.9,2015
461,16,1657000,204000,12.3,2015
462,17,12680000,1380000,10.9,2015
463,18,6502000,880000,13.5,2015
464,19,3100000,321000,10.4,2015
465,20,2849000,404000,14.2,2015
466,21,4365000,851000,19.5,2015
467,22,4599000,854000,18.6,2015
468,23,1340000,165000,12.3,2015
469,24,5892000,566000,9.6,2015
470,25,6777000,782000,11.5,2015
471,26,9852000,1259000,12.8,2015
472,27,5458000,428000,7.8,2015
473,28,2947000,563000,19.1,2015
474,29,5946000,582000,9.8,2015
475,30,1018000,121000,11.9,2015
476,31,1858000,192000,10.3,2015
477,32,2864000,371000,13,2015
478,33,1293000,94000,7.3,2015
479,34,8936000,1004000,11.2,2015
480,35,2036000,400000,19.7,2015
481,36,19650000,2791000,14.2,2015
482,37,9887000,1509000,15.3,2015
483,38,763000,82000,10.7,2015
484,39,11440000,1550000,13.6,2015
485,40,3887000,551000,14.2,2015
486,41,4029000,478000,11.9,2015
487,42,12560000,1542000,12.3,2015
488,44,1044000,123000,11.8,2015
489,45,4790000,683000,14.3,2015
490,46,848000,118000,13.9,2015
491,47,6605000,973000,14.7,2015
492,48,27400000,4036000,14.7,2015
493,49,3004000,279000,9.3,2015
494,50,609000,65000,10.7,2015
495,51,8216000,894000,10.9,2015
496,53,7193000,819000,11.4,2015
497,54,1795000,261000,14.5,2015
498,55,5736000,654000,11.4,2015
499,56,574000,56000,9.8,2015
500,02,694000,82000,11.9,2014
501,04,6657000,1409000,21.2,2014
502,05,2891000,532000,18.4,2014
503,06,38670000,6112000,15.8,2014
504,08,5376000,661000,12.3,2014
505,09,3577000,308000,8.6,2014
506,10,929000,103000,11,2014
508,12,19690000,3282000,16.7,2014
509,13,9948000,1676000,16.8,2014
510,15,1365000,147000,10.8,2014
511,16,1606000,199000,12.4,2014
512,17,12770000,1756000,13.7,2014
513,18,6470000,948000,14.6,2014
514,19,3078000,317000,10.3,2014
515,20,2851000,345000,12.1,2014
516,21,4299000,861000,20,2014
517,22,4550000,1049000,23.1,2014
518,23,1300000,190000,14.6,2014
519,24,5934000,584000,9.8,2014
520,25,6653000,902000,13.6,2014
521,26,9893000,1462000,14.8,2014
522,27,5417000,447000,8.3,2014
523,28,2961000,654000,22.1,2014
524,29,5950000,620000,10.4,2014
525,30,1008000,121000,12,2014
526,31,1873000,221000,11.8,2014
527,32,2819000,478000,17,2014
528,33,1318000,95000,7.2,2014
529,34,8938000,1013000,11.3,2014
530,35,2030000,406000,20,2014
531,36,19660000,2755000,14,2014
532,37,9823000,1678000,17.1,2014
533,38,731000,71000,9.7,2014
534,39,11510000,1792000,15.6,2014
535,40,3728000,647000,17.3,2014
536,41,3955000,570000,14.4,2014
537,42,12620000,1581000,12.5,2014
538,44,1046000,119000,11.3,2014
539,45,4764000,788000,16.5,2014
540,46,846000,109000,12.8,2014
541,47,6496000,1122000,17.3,2014
542,48,26680000,4364000,16.4,2014
543,49,2928000,298000,10.2,2014
544,50,615000,57000,9.3,2014
545,51,8257000,842000,10.2,2014
546,53,7079000,852000,12,2014
547,54,1822000,376000,20.6,2014
548,55,5742000,628000,10.9,2014
549,56,572000,55000,9.7,2014
550,02,696000,67000,9.7,2013
551,04,6532000,1163000,17.8,2013
552,05,2852000,395000,13.9,2013
553,06,38210000,5754000,15.1,2013
554,08,5303000,569000,10.7,2013
555,09,3637000,396000,10.9,2013
556,10,912000,102000,11.2,2013
558,12,19460000,2882000,14.8,2013
559,13,9848000,1825000,18.5,2013
560,15,1338000,142000,10.6,2013
561,16,1610000,200000,12.4,2013
562,17,12650000,1720000,13.6,2013
563,18,6557000,1083000,16.5,2013
564,19,3076000,405000,13.2,2013
565,20,2760000,315000,11.4,2013
566,21,4501000,991000,22,2013
567,22,4534000,963000,21.2,2013
568,23,1330000,151000,11.4,2013
569,24,5946000,623000,10.5,2013
570,25,6735000,818000,12.1,2013
571,26,10070000,1277000,12.7,2013
572,27,5349000,589000,11,2013
573,28,2895000,554000,19.1,2013
574,29,5955000,1041000,17.5,2013
575,30,980000,103000,10.5,2013
576,31,1868000,196000,10.5,2013
577,32,2774000,401000,14.5,2013
578,33,1301000,71000,5.5,2013
579,34,8728000,861000,9.9,2013
580,35,2079000,535000,25.8,2013
581,36,19340000,3337000,17.3,2013
582,37,9672000,1419000,14.7,2013
583,38,716000,94000,13.2,2013
584,39,11280000,1684000,14.9,2013
