,STATEFIPS,Total population,Number in poverty,Percent in poverty,YEAR
1731,36,17910000,2736000,15.3,1991
1732,37,6641000,964000,14.5,1991
1733,38,635000,92000,14.5,1991
1734,39,11060000,1488000,13.4,1991
1735,40,3173000,541000,17,1991
1736,41,2967000,401000,13.5,1991
1737,42,12150000,1340000,11,1991
1738,44,949000,99000,10.4,1991
1739,45,3538000,582000,16.4,1991
1740,46,689000,96000,14,1991
1741,47,4787000,744000,15.5,1991
1742,48,16960000,2965000,17.5,1991
1743,49,1717000,222000,12.9,1991
1744,50,579000,73000,12.6,1991
1745,51,6144000,608000,9.9,1991
1746,53,4989000,474000,9.5,1991
1747,54,1830000,327000,17.9,1991
1748,55,4952000,492000,9.9,1991
1749,56,470000,47000,9.9,1991
1750,02,499000,57000,11.4,1990
1751,04,3521000,484000,13.7,1990
1752,05,2411000,472000,19.6,1990
1753,06,29770000,4128000,13.9,1990
1754,08,3367000,461000,13.7,1990
1755,09,3265000,196000,6,1990
1756,10,690000,48000,6.9,1990
1758,12,13180000,1896000,14.4,1990
1759,13,6349000,1001000,15.8,1990
1760,15,1100000,121000,11,1990
1761,16,1048000,157000,14.9,1990
1762,17,11700000,1606000,13.7,1990
1763,18,5480000,714000,13,1990
1764,19,2784000,289000,10.4,1990
1765,20,2510000,259000,10.3,1990
1766,21,3620000,628000,17.3,1990
1767,22,4034000,952000,23.6,1990
1768,23,1231000,162000,13.1,1990
1769,24,4727000,468000,9.9,1990
1770,25,5832000,626000,10.7,1990
1771,26,9187000,1315000,14.3,1990
1772,27,4366000,524000,12,1990
1773,28,2663000,684000,25.7,1990
1774,29,5238000,700000,13.4,1990
1775,30,820000,134000,16.3,1990
1776,31,1617000,167000,10.3,1990
1777,32,1218000,119000,9.8,1990
1778,33,1085000,68000,6.3,1990
1779,34,7741000,711000,9.2,1990
1780,35,1524000,319000,20.9,1990
1781,36,18040000,2571000,14.3,1990
1782,37,6377000,829000,13,1990
1783,38,635000,87000,13.7,1990
1784,39,10890000,1256000,11.5,1990
1785,40,3091000,481000,15.6,1990
1786,41,2891000,267000,9.2,1990
1787,42,12100000,1328000,11,1990
1788,44,946000,71000,7.5,1990
1789,45,3391000,548000,16.2,1990
1790,46,696000,93000,13.3,1990
1791,47,4927000,833000,16.9,1990
1792,48,16870000,2684000,15.9,1990
1793,49,1739000,143000,8.2,1990
1794,50,564000,61000,10.9,1990
1795,51,6322000,705000,11.1,1990
1796,53,4880000,434000,8.9,1990
1797,54,1810000,328000,18.1,1990
1798,55,4815000,448000,9.3,1990
1799,56,463000,51000,11,1990
1800,02,488000,51000,10.5,1989
1801,04,3556000,502000,14.1,1989
1802,05,2419000,442000,18.3,1989
1803,06,29350000,3772000,12.9,1989
1804,08,3258000,393000,12.1,1989
1805,09,3136000,90000,2.9,1989
1806,10,676000,68000,10,1989
1808,12,12760000,1590000,12.5,1989
1809,13,6197000,929000,15,1989
1810,15,1086000,122000,11.3,1989
1811,16,1014000,126000,12.4,1989
1812,17,11560000,1470000,12.7,1989
1813,18,5453000,749000,13.7,1989
1814,19,2835000,291000,10.3,1989
1815,20,2434000,262000,10.8,1989
1816,21,3576000,576000,16.1,1989
1817,22,4080000,950000,23.3,1989
1818,23,1233000,128000,10.4,1989
1819,24,4567000,411000,9,1989
1820,25,5831000,513000,8.8,1989
1821,26,9297000,1228000,13.2,1989
1822,27,4268000,478000,11.2,1989
1823,28,2574000,566000,22,1989
1824,29,5193000,654000,12.6,1989
1825,30,816000,127000,15.6,1989
1826,31,1602000,204000,12.8,1989
1827,32,1127000,121000,10.8,1989
1828,33,1100000,84000,7.7,1989
1829,34,7623000,622000,8.2,1989
1830,35,1519000,297000,19.5,1989
1831,36,17940000,2254000,12.6,1989
1832,37,6301000,770000,12.2,1989
1833,38,642000,79000,12.2,1989
1834,39,10750000,1143000,10.6,1989
1835,40,3126000,460000,14.7,1989
1836,41,2915000,327000,11.2,1989
1837,42,12140000,1261000,10.4,1989
1838,44,963000,64000,6.7,1989
1839,45,3446000,585000,17,1989
1840,46,696000,92000,13.2,1989
1841,47,4833000,891000,18.4,1989
1842,48,16890000,2880000,17.1,1989
1843,49,1683000,138000,8.2,1989
1844,50,556000,44000,8,1989
1845,51,6159000,671000,10.9,1989
1846,53,4729000,455000,9.6,1989
1847,54,1799000,283000,15.7,1989
1848,55,4694000,393000,8.4,1989
1849,56,462000,50000,10.9,1989
1850,02,480000,53000,11,1988
1851,04,3491000,491000,14.1,1988
1852,05,2446000,527000,21.6,1988
1853,06,27860000,3687000,13.2,1988
1854,08,3237000,405000,12.5,1988
1855,09,3199000,128000,4,1988
1856,10,659000,57000,8.6,1988
1858,12,12500000,1704000,13.6,1988
1859,13,6230000,875000,14,1988
1860,15,1051000,117000,11.1,1988
1861,16,991000,124000,12.5,1988
1862,17,11340000,1436000,12.7,1988
1863,18,5530000,560000,10.1,1988
1864,19,2814000,263000,9.4,1988
1865,20,2399000,195000,8.1,1988
1866,21,3605000,634000,17.6,1988
1867,22,4249000,968000,22.8,1988
1868,23,1201000,159000,13.2,1988
1869,24,4650000,457000,9.8,1988
1870,25,5861000,497000,8.5,1988
1871,26,9223000,1112000,12.1,1988
1872,27,4421000,514000,11.6,1988
1873,28,2588000,704000,27.2,1988
1874,29,5201000,662000,12.7,1988
1875,30,795000,116000,14.6,1988
1876,31,1600000,164000,10.3,1988
1877,32,1084000,93000,8.6,1988
1878,33,1089000,73000,6.7,1988
1879,34,7628000,475000,6.2,1988
1880,35,1495000,343000,23,1988
1881,36,17640000,2369000,13.4,1988
1882,37,6312000,796000,12.6,1988
1883,38,654000,76000,11.6,1988
1884,39,10900000,1356000,12.4,1988
1885,40,3146000,543000,17.3,1988
1886,41,2727000,285000,10.4,1988
1887,42,12120000,1246000,10.3,1988
1888,44,1008000,99000,9.8,1988
1889,45,3405000,528000,15.5,1988
1890,46,707000,101000,14.2,1988
1891,47,4901000,883000,18,1988
1892,48,16690000,3006000,18,1988
1893,49,1662000,162000,9.8,1988
1894,50,532000,43000,8.1,1988
1895,51,5970000,647000,10.8,1988
1896,53,4625000,402000,8.7,1988
1897,54,1880000,337000,17.9,1988
1898,55,4696000,364000,7.8,1988
1899,56,454000,43000,9.6,1988
1900,02,499000,60000,12,1987
1901,04,3459000,444000,12.8,1987
1902,05,2468000,537000,21.8,1987
1903,06,27880000,3443000,12.3,1987
1904,08,3184000,398000,12.5,1987
1905,09,3127000,207000,6.6,1987
1906,10,637000,42000,6.6,1987
1908,12,12260000,1523000,12.4,1987
1909,13,6049000,883000,14.6,1987
1910,15,1086000,95000,8.8,1987
1911,16,991000,150000,15.1,1987
1912,17,11500000,1655000,14.4,1987
1913,18,5398000,597000,11.1,1987
1914,19,2892000,419000,14.5,1987
1915,20,2435000,225000,9.2,1987
1916,21,3666000,634000,17.3,1987
1917,22,4268000,1071000,25.1,1987
1918,23,1144000,134000,11.7,1987
1919,24,4558000,420000,9.2,1987
1920,25,5845000,477000,8.2,1987
1921,26,8973000,1095000,12.2,1987
1922,27,4294000,484000,11.3,1987
1923,28,2553000,637000,25,1987
1924,29,5100000,716000,14,1987
1925,30,798000,144000,18,1987
1926,31,1610000,191000,11.9,1987
1927,32,1026000,107000,10.4,1987
1928,33,1054000,51000,4.8,1987
1929,34,7503000,626000,8.3,1987
1930,35,1443000,280000,19.4,1987
1931,36,17470000,2506000,14.3,1987
1932,37,6183000,853000,13.8,1987
1933,38,655000,75000,11.4,1987
1934,39,10800000,1375000,12.7,1987
1935,40,3209000,547000,17,1987
1936,41,2709000,384000,14.2,1987
1937,42,11770000,1249000,10.6,1987
1938,44,974000,79000,8.1,1987
1939,45,3274000,512000,15.6,1987
1940,46,714000,109000,15.2,1987
1941,47,4679000,792000,16.9,1987
1942,48,16610000,2917000,17.6,1987
1943,49,1689000,173000,10.2,1987
1944,50,534000,50000,9.3,1987
1945,51,5871000,583000,9.9,1987
1946,53,4489000,450000,10,1987
1947,54,1889000,408000,21.6,1987
1948,55,4738000,428000,9,1987
1949,56,451000,49000,10.8,1987
1950,02,517000,59000,11.4,1986
1951,04,3386000,484000,14.3,1986
1952,05,2342000,499000,21.3,1986
1953,06,27080000,3453000,12.7,1986
1954,08,3157000,426000,13.5,1986
1955,09,3125000,186000,6,1986
1956,10,639000,79000,12.4,1986
1958,12,11780000,1342000,11.4,1986
1959,13,6023000,879000,14.6,1986
1960,15,1024000,109000,10.7,1986
1961,16,973000,180000,18.5,1986
1962,17,11450000,1517000,13.3,1986
1963,18,5312000,674000,12.7,1986
1964,19,2907000,376000,12.9,1986
1965,20,2433000,269000,11.1,1986
1966,21,3560000,630000,17.7,1986
1967,22,4338000,953000,22,1986
1968,23,1127000,115000,10.2,1986
1969,24,4504000,414000,9.2,1986
1970,25,5846000,538000,9.2,1986
1971,26,9112000,1267000,13.9,1986
1972,27,4131000,517000,12.5,1986
1973,28,2610000,695000,26.6,1986
1974,29,4998000,722000,14.4,1986
1975,30,823000,136000,16.5,1986
1976,31,1617000,220000,13.6,1986
1977,32,1010000,82000,8.1,1986
1978,33,1002000,37000,3.7,1986
1979,34,7624000,679000,8.9,1986
1980,35,1434000,306000,21.3,1986
1981,36,17590000,2322000,13.2,1986
1982,37,6178000,884000,14.3,1986
1983,38,651000,88000,13.5,1986
1984,39,10700000,1372000,12.8,1986
1985,40,3184000,469000,14.7,1986
1986,41,2702000,332000,12.3,1986
1987,42,11780000,1190000,10.1,1986
1988,44,953000,87000,9.1,1986
1989,45,3288000,569000,17.3,1986
1990,46,697000,118000,17,1986
1991,47,4650000,853000,18.3,1986
1992,48,16370000,2825000,17.3,1986
1993,49,1659000,209000,12.6,1986
1994,50,529000,58000,11,1986
1995,51,5624000,547000,9.7,1986
1996,53,4369000,563000,12.9,1986
1997,54,1927000,432000,22.4,1986
1998,55,4697000,501000,10.7,1986
1999,56,496000,73000,14.6,1986
2000,02,510000,45000,8.7,1985
2001,04,3227000,345000,10.7,1985
2002,05,2364000,541000,22.9,1985
2003,06,26460000,3596000,13.6,1985
2004,08,3176000,324000,10.2,1985
2005,09,3111000,237000,7.6,1985
2006,10,624000,71000,11.4,1985
2008,12,11540000,1551000,13.4,1985
2009,13,5867000,1037000,17.7,1985
2010,15,1018000,109000,10.7,1985
2011,16,996000,159000,16,1985
2012,17,11740000,1830000,15.6,1985
2013,18,5302000,639000,12,1985
2014,19,2815000,505000,17.9,1985
2015,20,2395000,331000,13.8,1985
2016,21,3650000,708000,19.4,1985
2017,22,4322000,781000,18.1,1985
2018,23,1129000,134000,11.9,1985
2019,24,4209000,364000,8.7,1985
2020,25,5899000,544000,9.2,1985
2021,26,9051000,1308000,14.5,1985
2022,27,4146000,523000,12.6,1985
2023,28,2564000,644000,25.1,1985
2024,29,5011000,689000,13.7,1985
2025,30,835000,134000,16,1985
2026,31,1589000,235000,14.8,1985
2027,32,968000,139000,14.4,1985
2028,33,988000,59000,6,1985
2029,34,7608000,631000,8.3,1985
2030,35,1447000,267000,18.5,1985
2031,36,17670000,2796000,15.8,1985
2032,37,6073000,863000,14.2,1985
2033,38,681000,108000,15.9,1985
2034,39,10630000,1359000,12.8,1985
2035,40,3280000,526000,16,1985
2036,41,2671000,317000,11.9,1985
2037,42,11550000,1217000,10.5,1985
2038,44,933000,84000,9,1985
2039,45,3219000,489000,15.2,1985
2040,46,689000,119000,17.3,1985
2041,47,4619000,837000,18.1,1985
2042,48,16230000,2582000,15.9,1985
2043,49,1652000,180000,10.9,1985
2044,50,524000,48000,9.2,1985
2045,51,5567000,558000,10,1985
2046,53,4371000,526000,12,1985
2047,54,1894000,423000,22.3,1985
2048,55,4693000,544000,11.6,1985
2049,56,506000,61000,12,1985
2050,02,507000,49000,9.6,1984
2051,04,3133000,569000,18.2,1984
2052,05,2364000,564000,23.9,1984
2053,06,25600000,3375000,13.2,1984
2054,08,3067000,274000,8.9,1984
2055,09,3152000,218000,6.9,1984
2056,10,611000,63000,10.3,1984
2058,12,11190000,1693000,15.1,1984
2059,13,5822000,981000,16.9,1984
2060,15,997000,92000,9.3,1984
2061,16,992000,171000,17.3,1984
2062,17,11650000,1753000,15,1984
2063,18,5419000,697000,12.9,1984
2064,19,2876000,419000,14.6,1984
2065,20,2420000,260000,10.7,1984
2066,21,3721000,709000,19.1,1984
2067,22,4304000,888000,20.6,1984
2068,23,1167000,152000,13,1984
2069,24,4106000,358000,8.7,1984
2070,25,5845000,519000,8.9,1984
2071,26,8962000,1495000,16.7,1984
2072,27,4164000,381000,9.1,1984
2073,28,2504000,628000,25.1,1984
2074,29,4958000,720000,14.5,1984
2075,30,836000,115000,13.8,1984
2076,31,1608000,213000,13.3,1984
2077,32,962000,101000,10.5,1984
2078,33,958000,68000,7.1,1984
2079,34,7511000,758000,10.1,1984
2080,35,1437000,280000,19.5,1984
2081,36,17560000,2806000,16,1984
2082,37,5900000,860000,14.6,1984
2083,38,683000,106000,15.4,1984
2084,39,10620000,1429000,13.5,1984
2085,40,3200000,426000,13.3,1984
2086,41,2593000,331000,12.8,1984
2087,42,11720000,1825000,15.6,1984
2088,44,946000,121000,12.8,1984
2089,45,3258000,561000,17.2,1984
2090,46,691000,100000,14.5,1984
2091,47,4603000,800000,17.4,1984
2092,48,15640000,2448000,15.7,1984
2093,49,1647000,183000,11.1,1984
2094,50,514000,65000,12.6,1984
2095,51,5563000,554000,10,1984
2096,53,4242000,479000,11.3,1984
2097,54,1922000,392000,20.4,1984
2098,55,4698000,730000,15.5,1984
2099,56,488000,53000,10.9,1984
2100,02,486000,61000,12.6,1983
2101,04,2875000,469000,16.3,1983
2102,05,2283000,492000,21.5,1983
2103,06,25170000,3755000,14.9,1983
2104,08,3083000,390000,12.6,1983
2105,09,3149000,276000,8.8,1983
2106,10,602000,52000,8.6,1983
2108,12,10850000,1595000,14.7,1983
2109,13,5581000,1050000,18.8,1983
2110,15,998000,129000,12.9,1983
2111,16,980000,174000,17.7,1983
2112,17,11350000,1617000,14.3,1983
2113,18,5382000,865000,16.1,1983
2114,19,2828000,473000,16.7,1983
2115,20,2369000,321000,13.6,1983
2116,21,3752000,670000,17.9,1983
2117,22,4360000,939000,21.5,1983
2118,23,1157000,144000,12.4,1983
2119,24,4112000,358000,8.7,1983
2120,25,5731000,443000,7.7,1983
2121,26,9056000,1518000,16.8,1983
2122,27,4138000,502000,12.1,1983
2123,28,2481000,669000,27,1983
2124,29,4837000,807000,16.7,1983
2125,30,810000,125000,15.4,1983
2126,31,1577000,240000,15.2,1983
2127,32,885000,86000,9.7,1983
2128,33,938000,76000,8.1,1983
2129,34,7451000,828000,11.1,1983
2130,35,1385000,340000,24.5,1983
2131,36,17580000,2817000,16,1983
2132,37,5890000,933000,15.8,1983
2133,38,685000,103000,15,1983
2134,39,10680000,1434000,13.4,1983
2135,40,3259000,553000,17,1983
2136,41,2597000,419000,16.1,1983
2137,42,11640000,1797000,15.4,1983
2138,44,971000,141000,14.5,1983
2139,45,3295000,687000,20.8,1983
2140,46,689000,127000,18.4,1983
2141,47,4663000,933000,20,1983
2142,48,15590000,2499000,16,1983
2143,49,1591000,214000,13.5,1983
2144,50,531000,83000,15.6,1983
2145,51,5448000,618000,11.3,1983
2146,53,4274000,460000,10.8,1983
2147,54,1898000,419000,22.1,1983
2148,55,4736000,504000,10.7,1983
2149,56,486000,61000,12.6,1983
2150,02,432000,46000,10.6,1982
2151,04,2765000,408000,14.8,1982
2152,05,2219000,527000,23.8,1982
2153,06,24610000,3475000,14.1,1982
2154,08,3064000,387000,12.6,1982
2155,09,3126000,254000,8.1,1982
2156,10,611000,70000,11.5,1982
2158,12,10510000,1601000,15.2,1982
2159,13,5472000,1074000,19.6,1982
2160,15,997000,132000,13.2,1982
2161,16,967000,151000,15.6,1982
2162,17,11280000,1512000,13.4,1982
2163,18,5415000,683000,12.6,1982
2164,19,2770000,371000,13.4,1982
2165,20,2365000,247000,10.4,1982
2166,21,3618000,587000,16.2,1982
2167,22,4299000,976000,22.7,1982
2168,23,1133000,156000,13.7,1982
2169,24,4190000,516000,12.3,1982
2170,25,5748000,590000,10.3,1982
2171,26,9117000,1481000,16.2,1982
2172,27,4120000,546000,13.3,1982
2173,28,2454000,562000,22.9,1982
2174,29,4798000,699000,14.6,1982
2175,30,793000,134000,17,1982
2176,31,1582000,216000,13.6,1982
2177,32,897000,70000,7.8,1982
2178,33,943000,97000,10.3,1982
2179,34,7367000,896000,12.2,1982
2180,35,1355000,303000,22.4,1982
2181,36,17660000,2607000,14.8,1982
2182,37,5928000,1201000,20.3,1982
2183,38,658000,85000,12.9,1982
2184,39,10710000,1366000,12.8,1982
2185,40,3111000,478000,15.4,1982
2186,41,2557000,354000,13.9,1982
2187,42,11620000,1572000,13.5,1982
2188,44,942000,125000,13.3,1982
2189,45,3301000,701000,21.2,1982
2190,46,677000,114000,16.8,1982
2191,47,4679000,1106000,23.6,1982
2192,48,15150000,2450000,16.2,1982
2193,49,1575000,229000,14.5,1982
2194,50,519000,67000,12.9,1982
2195,51,5329000,668000,12.5,1982
2196,53,4259000,549000,12.9,1982
2197,54,1951000,484000,24.8,1982
2198,55,4733000,452000,9.5,1982
2199,56,481000,58000,12,1982
2200,02,403000,36000,9,1981
2201,04,2751000,323000,11.7,1981
2202,05,2247000,541000,24.1,1981
2203,06,24110000,3216000,13.3,1981
2204,08,2958000,285000,9.6,1981
2205,09,3084000,254000,8.2,1981
2206,10,587000,72000,12.3,1981
2208,12,10280000,1704000,16.6,1981
2209,13,5415000,881000,16.3,1981
2210,15,953000,108000,11.3,1981
2211,16,962000,171000,17.7,1981
2212,17,11340000,1371000,12.1,1981
2213,18,5431000,685000,12.6,1981
2214,19,2815000,368000,13.1,1981
2215,20,2282000,267000,11.7,1981
2216,21,3668000,708000,19.3,1981
2217,22,4262000,938000,22,1981
2218,23,1116000,179000,16,1981
2219,24,4123000,442000,10.7,1981
2220,25,5804000,518000,8.9,1981
2221,26,9096000,1184000,13,1981
2222,27,4034000,438000,10.9,1981
2223,28,2408000,618000,25.7,1981
2224,29,4814000,634000,13.2,1981
2225,30,813000,107000,13.1,1981
2226,31,1579000,221000,14,1981
2227,32,884000,93000,10.5,1981
2228,33,929000,70000,7.6,1981
2229,34,7331000,736000,10,1981
2230,35,1303000,243000,18.6,1981
2231,36,17470000,2516000,14.4,1981
2232,37,5820000,1016000,17.5,1981
2233,38,626000,89000,14.2,1981
2234,39,10750000,1369000,12.7,1981
2235,40,2985000,413000,13.8,1981
2236,41,2693000,331000,12.3,1981
2237,42,11740000,1367000,11.6,1981
2238,44,936000,109000,11.7,1981
2239,45,3347000,615000,18.4,1981
2240,46,675000,132000,19.5,1981
2241,47,4502000,943000,20.9,1981
2242,48,14640000,2258000,15.4,1981
2243,49,1516000,185000,12.2,1981
2244,50,535000,66000,12.3,1981
2245,51,5257000,662000,12.6,1981
2246,53,4168000,471000,11.3,1981
2247,54,2003000,398000,19.9,1981
2248,55,4741000,384000,8.1,1981
2249,56,482000,43000,8.9,1981
2250,02,379000,36000,9.6,1980
2251,04,2774000,354000,12.8,1980
2252,05,2249000,484000,21.5,1980
2253,06,23750000,2619000,11,1980
2254,08,2869000,247000,8.6,1980
2255,09,3090000,255000,8.3,1980
2256,10,578000,68000,11.8,1980
2258,12,10100000,1692000,16.7,1980
2259,13,5243000,727000,13.9,1980
2260,15,954000,81000,8.5,1980
2261,16,934000,138000,14.7,1980
2262,17,11260000,1386000,12.3,1980
2263,18,5490000,645000,11.8,1980
2264,19,2868000,311000,10.8,1980
2265,20,2286000,215000,9.4,1980
2266,21,3641000,701000,19.3,1980
2267,22,4273000,868000,20.3,1980
2268,23,1077000,158000,14.6,1980
2269,24,4104000,389000,9.5,1980
2270,25,5725000,542000,9.5,1980
2271,26,9227000,1194000,12.9,1980
2272,27,3920000,342000,8.7,1980
2273,28,2429000,591000,24.3,1980
2274,29,4800000,625000,13,1980
2275,30,774000,102000,13.2,1980
2276,31,1532000,199000,13,1980
2277,32,840000,70000,8.3,1980
2278,33,907000,63000,7,1980
2279,34,7316000,659000,9,1980
2280,35,1304000,268000,20.6,1980
2281,36,17320000,2391000,13.8,1980
2282,37,5836000,877000,15,1980
2283,38,640000,99000,15.5,1980
2284,39,10630000,1046000,9.8,1980
2285,40,2916000,406000,13.9,1980
2286,41,2684000,309000,11.5,1980
2287,42,11670000,1142000,9.8,1980
2288,44,911000,97000,10.7,1980
2289,45,3174000,534000,16.8,1980
2290,46,677000,127000,18.8,1980
2291,47,4519000,884000,19.6,1980
2292,48,14330000,2247000,15.7,1980
2293,49,1488000,148000,10,1980
2294,50,520000,62000,12,1980
2295,51,5204000,647000,12.4,1980
2296,53,4223000,538000,12.7,1980
2297,54,1952000,297000,15.2,1980
2298,55,4724000,403000,8.5,1980
2299,56,468000,49000,10.4,1980
